DATAFLOW,LAST UPDATE,freq,nace_r1,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,1999,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2000,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2001,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2002,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2003,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2004,,bu
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2005,,bu
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2006,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2007,,bu
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT11,2008,,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,1999,2.8,
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2000,3.3,
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2001,2.5,u
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2002,3.1,
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2003,3.0,
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2004,2.5,bu
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2005,2.4,b
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2006,3.0,
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2007,2.5,b
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT12,2008,2.6,
ESTAT:HTEC_EMP_REG(1.0),04/03/22 23:00:00,A,HTC,PC_EMP,F,AT13,1999,3.8,
