DATAFLOW,LAST UPDATE,freq,age,nace_r1,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,1999,7.3,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2000,6.5,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2001,7.1,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2002,5.3,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2003,6.3,u
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2004,5.6,bu
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2005,6.0,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2006,7.0,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2007,6.5,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT11,2008,6.8,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,1999,39.2,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2000,36.7,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2001,35.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2002,36.8,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2003,38.5,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2004,35.3,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2005,33.5,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2006,37.3,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2007,37.7,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT12,2008,37.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,1999,36.5,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2000,34.2,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2001,31.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2002,29.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2003,27.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2004,25.6,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2005,24.8,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2006,29.8,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2007,28.8,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT13,2008,22.4,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,1999,12.6,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2000,13.3,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2001,11.7,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2002,11.8,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2003,11.4,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2004,12.3,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2005,12.7,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2006,12.2,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2007,11.9,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT21,2008,11.1,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,1999,30.4,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2000,28.2,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2001,25.0,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2002,25.3,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2003,28.8,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2004,21.4,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2005,28.1,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2006,30.7,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2007,27.6,b
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT22,2008,26.4,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT31,1999,42.0,
ESTAT:LFST_R_LFE2EN1(1.0),04/03/22 23:00:00,A,Y15-64,C-E,F,THS,AT31,2000,43.4,
