freq,c_birth,isced11,age,sex,unit,geo\TIME_PERIOD	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,TOTAL,ED0-2,Y15-64,F,PC,AT11	39.6 	39.8 	38.4 	35.4 	38.2 	38.3 b	40.7 b	43.3 b	45.0 b	45.0 	42.4 	40.8 	42.2 	42.9 	42.3 	39.3 b	41.3 	45.7 	41.3 	46.3 	42.2 	39.3 
A,TOTAL,ED0-2,Y15-64,M,PC,AT11	58.9 	56.2 	47.0 	49.3 	50.0 	41.8 b	51.3 b	52.6 b	54.8 b	54.9 	54.4 	54.0 	52.7 	45.5 	43.9 	51.0 b	45.7 u	39.5 u	43.3 u	49.6 	50.0 	52.3 
A,TOTAL,ED0-2,Y15-64,T,PC,AT11	46.4 	45.9 	41.7 	40.6 	42.6 	39.7 b	44.4 b	46.4 b	48.4 b	48.4 	46.7 	45.8 	45.9 	43.7 	42.9 	43.7 b	42.8 	43.4 	42.1 	47.6 	45.2 	44.1 
A,TOTAL,ED3_4,Y15-64,F,PC,AT11	73.1 	71.7 	72.7 	72.8 	71.0 	68.9 b	71.6 b	70.9 b	72.0 b	72.2 	73.3 	73.5 	73.3 	73.7 	72.6 	70.1 b	69.7 	68.0 	67.9 	68.1 	69.3 	70.1 
A,TOTAL,ED3_4,Y15-64,M,PC,AT11	80.8 	82.1 	79.8 	80.6 	82.1 	77.8 b	80.2 b	79.6 b	82.0 b	81.4 	79.6 	81.1 	79.1 	80.5 	78.9 	77.0 b	75.3 	75.8 	78.2 	78.6 	78.3 	76.1 
A,TOTAL,ED3_4,Y15-64,T,PC,AT11	77.6 	77.7 	76.7 	77.3 	77.4 	73.8 b	76.4 b	75.8 b	77.5 b	77.3 	76.7 	77.6 	76.5 	77.5 	76.0 	73.8 b	72.7 	72.3 	73.5 	73.8 	74.1 	73.3 
A,TOTAL,ED5-8,Y15-64,F,PC,AT11	82.4 u	91.6 u	86.8 u	84.0 u	83.6 	76.3 bu	79.2 b	82.3 b	86.8 b	82.7 	82.6 	84.9 	81.2 	79.7 	81.8 	80.2 b	78.8 	81.4 	84.8 	81.2 	82.4 	84.3 
A,TOTAL,ED5-8,Y15-64,M,PC,AT11	91.3 	89.8 	90.2 	88.6 	91.5 	82.6 b	87.0 b	88.3 b	90.8 b	91.8 	90.6 	87.7 	87.6 	85.1 	89.7 	85.0 b	85.1 	88.3 	88.2 	88.4 	87.5 	85.8 
A,TOTAL,ED5-8,Y15-64,T,PC,AT11	88.1 	90.5 	88.7 	86.4 	87.6 	79.8 b	83.9 b	86.0 b	89.2 b	87.9 	87.2 	86.5 	84.9 	82.8 	86.0 	82.6 b	82.1 	84.9 	86.4 	84.7 	84.9 	85.1 
A,TOTAL,TOTAL,Y15-64,F,PC,AT11	58.0 	58.9 	58.8 	58.9 	59.6 	59.0 b	61.1 b	62.0 	64.0 b	64.2 	64.7 	64.8 	64.5 	64.8 	64.9 	64.7 	64.9 	65.9 	66.4 	66.6 	67.1 	67.8 
A,TOTAL,TOTAL,Y15-64,M,PC,AT11	76.5 	76.3 	72.0 	74.2 	76.0 	70.6 b	75.5 b	76.2 	78.2 b	78.2 	76.8 	77.1 	76.1 	75.9 	74.8 	75.0 	74.3 	73.7 	75.8 	77.1 	76.9 	76.1 
A,TOTAL,TOTAL,Y15-64,T,PC,AT11	67.4 	67.7 	65.5 	66.6 	67.9 	64.9 b	68.4 b	69.2 	71.2 b	71.3 	70.8 	71.0 	70.3 	70.4 	69.9 	69.8 	69.6 	69.8 	71.1 	71.8 	71.9 	72.0 
A,TOTAL,ED0-2,Y15-64,F,PC,AT12	40.9 	40.6 	39.5 	40.9 	40.4 	38.9 b	38.7 b	43.4 b	46.8 b	45.5 	44.3 	43.4 	46.5 	46.9 	42.1 	46.0 b	46.0 	43.1 	45.2 	46.5 	44.1 	43.9 
A,TOTAL,ED0-2,Y15-64,M,PC,AT12	57.2 	57.5 	53.1 	53.0 	53.7 	49.4 b	55.1 b	55.7 b	56.4 b	56.3 	51.6 	51.4 	52.9 	50.2 	51.6 	54.2 b	53.8 	51.0 	51.9 	51.4 	51.6 	48.5 
A,TOTAL,ED0-2,Y15-64,T,PC,AT12	47.4 	47.2 	44.9 	45.7 	45.4 	43.4 b	45.6 b	48.1 b	50.5 b	50.0 	47.1 	46.7 	49.2 	48.3 	45.8 	49.4 b	49.2 	46.4 	48.2 	48.6 	47.4 	46.0 
A,TOTAL,ED3_4,Y15-64,F,PC,AT12	68.7 	68.9 	67.8 	68.1 	70.4 	68.1 b	68.4 b	70.7 b	71.1 b	72.9 	73.8 	74.0 	73.1 	73.6 	74.6 	70.9 b	71.0 	72.6 	72.5 	71.5 	71.5 	71.3 
A,TOTAL,ED3_4,Y15-64,M,PC,AT12	81.8 	82.0 	81.7 	81.0 	82.0 	77.9 b	79.5 b	79.5 b	81.3 b	82.4 	80.2 	80.7 	81.4 	81.0 	80.9 	78.4 b	77.8 	78.0 	79.7 	80.6 	80.3 	80.1 
A,TOTAL,ED3_4,Y15-64,T,PC,AT12	75.8 	76.0 	75.2 	75.0 	76.6 	73.0 b	74.1 b	75.3 b	76.5 b	77.8 	77.2 	77.5 	77.3 	77.4 	77.9 	74.8 b	74.5 	75.4 	76.3 	76.2 	76.1 	75.9 
A,TOTAL,ED5-8,Y15-64,F,PC,AT12	85.4 	83.3 	85.4 	82.6 	82.1 	80.3 b	82.5 b	83.1 b	84.9 b	82.6 	80.7 	79.5 	82.6 	85.3 	84.6 	83.8 b	84.0 	83.2 	85.2 	85.0 	84.3 	84.2 
