DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2008,2300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2009,2400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2010,2600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2011,2600,b
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2012,2700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2013,2700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2014,2700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2015,2900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2016,3100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2017,3300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2018,3600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL01,2019,3900,p
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2008,4000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2009,4000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2010,4000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2011,3900,b
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2012,3900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2013,3900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2014,4100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2015,4300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2016,4400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2017,4900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2018,5400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL02,2019,5800,p
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2008,2500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2009,2400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2010,2600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2011,3000,b
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2012,3100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2013,3200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2014,3400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2015,3300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2016,3400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2017,3600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2018,4000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AL03,2019,4400,p
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2000,17400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2001,17900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2002,18800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2003,19300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2004,20300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2005,20500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2006,21100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2007,22400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2008,22700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2009,22700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2010,23600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2011,24600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2012,25700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2013,26300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2014,26900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2015,27800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2016,28600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2017,29800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2018,30600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2019,31500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT11,2020,30200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2000,21800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2001,22100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2002,22500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2003,23000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2004,24300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2005,24900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2006,26200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2007,28000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2008,29000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2009,28200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2010,28800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2011,30100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2012,30800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2013,31100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2014,31900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT12,2015,32800,
