freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,F,TOTAL,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	416845 	405835 	405598 	404201 	399599 
A,NR,M,TOTAL,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	431214 	421069 	414195 	409557 	405090 
A,NR,T,TOTAL,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	848059 	826904 	819793 	813758 	804689 
A,NR,F,TOTAL,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	552949 	574010 	585530 	590623 	594008 
A,NR,M,TOTAL,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	557613 	572173 	577014 	579519 	582232 
A,NR,T,TOTAL,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1110562 	1146183 	1162544 	1170142 	1176240 
A,NR,F,TOTAL,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	454906 	443205 	440587 	438009 	431735 
A,NR,M,TOTAL,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	472499 	460299 	447400 	440518 	433291 
A,NR,T,TOTAL,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	927405 	903504 	887987 	878527 	865026 
A,NR,F,TOTAL,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,NR,M,TOTAL,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,NR,T,TOTAL,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,NR,F,TOTAL,AT11	139775 	140071 	141157 	141706 	141890 	142264 	142371 	142232 	142008 	141744 	141501 	141390 	141588 	141524 	141557 	142176 	142599 	143039 	143433 	144528 	145017 	145579 	146224 	146694 	146980 	147246 	148052 	148416 	149016 	149487 	150097 
A,NR,M,TOTAL,AT11	130895 	131533 	133102 	133927 	134410 	135265 	135472 	135334 	135202 	134988 	134725 	134566 	135085 	135018 	135236 	135857 	136529 	137023 	137544 	138249 	138680 	139002 	139558 	139997 	140436 	141110 	142959 	143526 	143659 	143946 	144339 
A,NR,T,TOTAL,AT11	270670 	271604 	274259 	275633 	276300 	277529 	277843 	277566 	277210 	276732 	276226 	275956 	276673 	276542 	276793 	278033 	279128 	280062 	280977 	282777 	283697 	284581 	285782 	286691 	287416 	288356 	291011 	291942 	292675 	293433 	294436 
A,NR,F,TOTAL,AT12	752424 	758595 	765016 	772563 	775697 	778244 	780046 	780826 	782265 	784028 	786173 	788045 	790836 	792494 	796297 	801598 	806600 	810409 	814117 	818188 	819527 	821187 	823091 	824527 	828087 	832975 	839555 	845249 	847971 	851644 	855113 
