DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2000,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2001,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2002,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2003,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2004,,bu
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2005,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2006,,bu
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2007,,bu
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2008,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2009,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2010,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2011,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2012,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2013,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2014,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2015,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2016,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2017,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2018,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2019,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2020,,u
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT11,2021,,bu
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT12,2000,13.9,
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT12,2001,10.8,
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT12,2002,12.3,
ESTAT:EDAT_LFSE_22(1.0),11/05/22 11:00:00,A,F,Y15-29,NO_FE_NO_NFE,NEMP,PC,AT12,2003,9.9,
