DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,1999,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2000,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2001,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2002,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2003,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2004,,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2005,,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2006,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2007,,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2008,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2009,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2010,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2011,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2012,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2013,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2014,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2015,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2016,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2017,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2018,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2019,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2020,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT11,2021,,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,1999,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2000,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2001,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2002,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2003,,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2004,15.2,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2005,9.2,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2006,8.2,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2007,8.8,bu
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2008,9.8,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2009,11.4,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2010,7.9,u
ESTAT:LFST_R_LFU3RT(1.0),04/07/22 23:00:00,A,TOTAL,F,Y15-24,PC,AT12,2011,8.3,u
