
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.000531",="0.0000987",="-0.000433",="0.000505",="0.000253*",="-0.0000453",="-0.0000114"
="",="(0.000873)",="(0.000253)",="(0.000397)",="(0.000367)",="(0.000145)",="(0.0000467)",="(0.00000976)"

="share_pop_2549",="-6.483**",="-2.884***",="-1.494",="1.017",="-1.434***",="-0.680***",="-0.0808***"
="",="(2.602)",="(0.791)",="(1.364)",="(0.963)",="(0.282)",="(0.107)",="(0.0225)"

="share_pop_50plus",="-3.257***",="-1.667***",="-0.470",="1.379**",="-1.276***",="-0.613***",="-0.0689***"
="",="(1.228)",="(0.507)",="(0.597)",="(0.572)",="(0.154)",="(0.0741)",="(0.0167)"

="edu_total_isced58",="0.00324",="-0.00109",="0.000834",="0.00319***",="0.000576",="-0.000121",="0.0000275"
="",="(0.00297)",="(0.00104)",="(0.00128)",="(0.000982)",="(0.000504)",="(0.000143)",="(0.0000326)"

="ratio_edu",="0.151",="0.0125",="-0.263***",="0.166",="0.171**",="0.0228",="0.00493*"
="",="(0.301)",="(0.0528)",="(0.0563)",="(0.143)",="(0.0702)",="(0.0161)",="(0.00274)"

="ratio_edu_sq",="-0.0445",="-0.00423",="0.104***",="-0.0580",="-0.0580**",="-0.00912",="-0.00181*"
="",="(0.110)",="(0.0192)",="(0.0240)",="(0.0531)",="(0.0253)",="(0.00578)",="(0.00104)"

="ec_active_female",="0.00693**",="0.00185",="0.00516***",="0.000423",="-0.000547",="0.0000941",="-0.0000227"
="",="(0.00321)",="(0.00115)",="(0.00131)",="(0.00128)",="(0.000430)",="(0.000141)",="(0.0000317)"

="N",="240",="240",="240",="240",="240",="240",="240"
="AIC",="-1037.8",="-1617.3",="-1483.4",="-1473.3",="-1836.5",="-2375.1",="-3128.6"
="BIC",="-1013.4",="-1592.9",="-1459.0",="-1449.0",="-1812.2",="-2350.8",="-3104.3"
="ll",="525.9",="815.7",="748.7",="743.7",="925.3",="1194.6",="1571.3"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
