
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00319**",="-0.00161***",="0.000406",="-0.000824",="-0.000849***",="-0.0000949",="-0.0000234"
="",="(0.00141)",="(0.000450)",="(0.000802)",="(0.000591)",="(0.000220)",="(0.0000883)",="(0.0000224)"

="interaction25",="0.000114**",="0.0000548***",="-0.0000285",="0.0000369*",="0.0000355***",="0.00000202",="0.000000369"
="",="(0.0000492)",="(0.0000139)",="(0.0000222)",="(0.0000222)",="(0.00000833)",="(0.00000237)",="(0.000000538)"

="share_pop_2549",="-7.640***",="-3.287***",="-1.369",="0.419",="-1.692***",="-0.671***",="-0.0846***"
="",="(2.490)",="(0.628)",="(1.254)",="(0.974)",="(0.250)",="(0.0981)",="(0.0243)"

="share_pop_50plus",="-4.985***",="-2.378***",="-0.166",="0.645",="-1.734***",="-0.621***",="-0.0745***"
="",="(1.114)",="(0.396)",="(0.679)",="(0.526)",="(0.147)",="(0.0836)",="(0.0198)"

="edu_total_isced58",="0.00297",="-0.00113",="0.000807",="0.00297***",="0.000551",="-0.000108",="0.0000266"
="",="(0.00295)",="(0.000975)",="(0.00122)",="(0.000948)",="(0.000459)",="(0.000140)",="(0.0000328)"

="ratio_edu",="0.00527",="-0.0619",="-0.222***",="0.125",="0.123*",="0.0193",="0.00446*"
="",="(0.285)",="(0.0436)",="(0.0638)",="(0.137)",="(0.0650)",="(0.0170)",="(0.00248)"

="ratio_edu_sq",="0.00944",="0.0234",="0.0887***",="-0.0431",="-0.0401*",="-0.00784",="-0.00163*"
="",="(0.104)",="(0.0156)",="(0.0256)",="(0.0507)",="(0.0236)",="(0.00613)",="(0.000952)"

="ec_active_female",="0.00722**",="0.00198**",="0.00510***",="0.000528",="-0.000463",="0.0000976",="-0.0000217"
="",="(0.00290)",="(0.000991)",="(0.00131)",="(0.00119)",="(0.000320)",="(0.000137)",="(0.0000311)"

="N",="240",="240",="240",="240",="240",="240",="240"
="AIC",="-1051.1",="-1641.8",="-1482.3",="-1486.1",="-1860.9",="-2373.4",="-3126.8"
="BIC",="-1023.2",="-1613.9",="-1454.5",="-1458.2",="-1833.1",="-2345.6",="-3098.9"
="ll",="533.5",="828.9",="749.2",="751.0",="938.5",="1194.7",="1571.4"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
