
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00246",="-0.00115",="0.00154",="-0.00111",="-0.00101***",="-0.0000283",="-0.0000217"
="",="(0.00252)",="(0.000823)",="(0.00106)",="(0.00115)",="(0.000354)",="(0.000147)",="(0.0000246)"

="interaction26",="0.0000641",="0.0000282",="-0.0000455*",="0.0000333",="0.0000287***",="4.65e-08",="0.000000169"
="",="(0.0000591)",="(0.0000183)",="(0.0000251)",="(0.0000247)",="(0.00000746)",="(0.00000278)",="(0.000000460)"

="share_pop_2549",="-7.420***",="-3.183***",="-1.091",="0.424",="-1.726***",="-0.646***",="-0.0877***"
="",="(2.415)",="(0.709)",="(1.194)",="(1.020)",="(0.251)",="(0.117)",="(0.0250)"

="share_pop_50plus",="-4.679***",="-2.203***",="0.334",="0.557",="-1.813***",="-0.587***",="-0.0761***"
="",="(1.475)",="(0.580)",="(0.697)",="(0.731)",="(0.223)",="(0.111)",="(0.0204)"

="edu_total_isced58",="0.00268",="-0.00127",="0.00109",="0.00283**",="0.000396",="-0.000101",="0.0000234"
="",="(0.00318)",="(0.00103)",="(0.00123)",="(0.00111)",="(0.000492)",="(0.000147)",="(0.0000332)"

="ratio_edu",="0.0940",="-0.0157",="-0.215***",="0.139",="0.142**",="0.0217",="0.00491*"
="",="(0.287)",="(0.0542)",="(0.0487)",="(0.134)",="(0.0688)",="(0.0161)",="(0.00265)"

="ratio_edu_sq",="-0.0241",="0.00596",="0.0866***",="-0.0486",="-0.0475*",="-0.00872",="-0.00180*"
="",="(0.104)",="(0.0194)",="(0.0196)",="(0.0499)",="(0.0250)",="(0.00581)",="(0.00101)"

="ec_active_female",="0.00672**",="0.00175",="0.00533***",="0.000318",="-0.000650",="0.0000921",="-0.0000230"
="",="(0.00306)",="(0.00107)",="(0.00137)",="(0.00120)",="(0.000395)",="(0.000144)",="(0.0000313)"

="N",="240",="240",="240",="240",="240",="240",="240"
="AIC",="-1041.9",="-1621.3",="-1487.2",="-1484.2",="-1852.3",="-2374.1",="-3125.8"
="BIC",="-1014.1",="-1593.5",="-1459.3",="-1456.4",="-1824.5",="-2346.2",="-3097.9"
="ll",="529.0",="818.7",="751.6",="750.1",="934.2",="1195.0",="1570.9"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
