
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00317**",="-0.00186***",="-0.000500",="-0.000274",="-0.000556*",="-0.000140",="-0.0000225"
="",="(0.00157)",="(0.000440)",="(0.00109)",="(0.000661)",="(0.000329)",="(0.000115)",="(0.0000278)"

="interaction22",="0.00516**",="0.00280***",="0.0000545",="0.000930",="0.00118**",="0.000156",="0.0000190"
="",="(0.00205)",="(0.000511)",="(0.00131)",="(0.00103)",="(0.000470)",="(0.000156)",="(0.0000332)"

="share_pop_2549",="-6.560***",="-2.830***",="-1.546",="0.803",="-1.388***",="-0.652***",="-0.0766***"
="",="(2.545)",="(0.703)",="(1.315)",="(0.987)",="(0.279)",="(0.0976)",="(0.0220)"

="share_pop_50plus",="-3.346***",="-1.641***",="-0.510",="1.206**",="-1.247***",="-0.592***",="-0.0657***"
="",="(1.127)",="(0.390)",="(0.560)",="(0.604)",="(0.133)",="(0.0705)",="(0.0171)"

="edu_total_isced58",="0.00370",="-0.000783",="0.000810",="0.00316***",="0.000717",="-0.0000891",="0.0000318"
="",="(0.00290)",="(0.000963)",="(0.00128)",="(0.000953)",="(0.000488)",="(0.000149)",="(0.0000325)"

="ratio_edu",="0.0552",="-0.0421",="-0.263***",="0.154",="0.148**",="0.0190",="0.00445*"
="",="(0.294)",="(0.0396)",="(0.0711)",="(0.146)",="(0.0676)",="(0.0168)",="(0.00254)"

="ratio_edu_sq",="-0.00815",="0.0165",="0.104***",="-0.0537",="-0.0490**",="-0.00768",="-0.00162*"
="",="(0.108)",="(0.0141)",="(0.0294)",="(0.0543)",="(0.0244)",="(0.00604)",="(0.000975)"

="ec_active_female",="0.00748**",="0.00214**",="0.00517***",="0.000532",="-0.000427",="0.000109",="-0.0000209"
="",="(0.00313)",="(0.00106)",="(0.00130)",="(0.00126)",="(0.000370)",="(0.000138)",="(0.0000311)"

="N",="240",="240",="240",="240",="240",="240",="240"
="AIC",="-1045.3",="-1639.4",="-1481.9",="-1476.8",="-1845.0",="-2374.2",="-3127.4"
="BIC",="-1017.5",="-1611.6",="-1454.0",="-1448.9",="-1817.2",="-2346.3",="-3099.6"
="ll",="530.7",="827.7",="748.9",="746.4",="930.5",="1195.1",="1571.7"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
