
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00210",="0.000398",="-0.00426",="0.00252",="0.00180**",="-0.000131",="-0.0000258"
="",="(0.00561)",="(0.00148)",="(0.00266)",="(0.00237)",="(0.000714)",="(0.000272)",="(0.0000459)"

="interaction11",="-0.0000747",="-0.0000314*",="0.0000504*",="-0.0000388",="-0.0000323***",="0.000000152",="-6.06e-08"
="",="(0.0000670)",="(0.0000189)",="(0.0000292)",="(0.0000295)",="(0.00000866)",="(0.00000322)",="(0.000000500)"

="interaction22",="0.00399",="0.00230***",="0.000955",="0.000277",="0.000621",="0.000136",="0.0000246"
="",="(0.00267)",="(0.000609)",="(0.00138)",="(0.00128)",="(0.000462)",="(0.000173)",="(0.0000348)"

="share_pop_2549",="-7.482***",="-3.160***",="-1.141",="0.362",="-1.711***",="-0.644***",="-0.0827***"
="",="(2.394)",="(0.639)",="(1.192)",="(1.041)",="(0.256)",="(0.112)",="(0.0241)"

="share_pop_50plus",="-4.755***",="-2.188***",="0.270",="0.504",="-1.796***",="-0.584***",="-0.0710***"
="",="(1.418)",="(0.484)",="(0.699)",="(0.756)",="(0.222)",="(0.106)",="(0.0203)"

="edu_total_isced58",="0.00315",="-0.000982",="0.00107",="0.00289***",="0.000517",="-0.0000864",="0.0000289"
="",="(0.00316)",="(0.000990)",="(0.00124)",="(0.00112)",="(0.000504)",="(0.000154)",="(0.0000333)"

="ratio_edu",="-0.00249",="-0.0679",="-0.219***",="0.124",="0.121*",="0.0193",="0.00443*"
="",="(0.281)",="(0.0414)",="(0.0566)",="(0.137)",="(0.0654)",="(0.0168)",="(0.00246)"

="ratio_edu_sq",="0.0126",="0.0259*",="0.0882***",="-0.0428",="-0.0396*",="-0.00781",="-0.00162*"
="",="(0.102)",="(0.0145)",="(0.0230)",="(0.0511)",="(0.0238)",="(0.00606)",="(0.000946)"

="ec_active_female",="0.00729**",="0.00206**",="0.00532***",="0.000426",="-0.000518",="0.000107",="-0.0000201"
="",="(0.00300)",="(0.000989)",="(0.00136)",="(0.00118)",="(0.000343)",="(0.000141)",="(0.0000306)"

="N",="240",="240",="240",="240",="240",="240",="240"
="AIC",="-1048.9",="-1642.8",="-1485.6",="-1485.0",="-1859.9",="-2372.5",="-3124.9"
="BIC",="-1017.6",="-1611.4",="-1454.3",="-1453.7",="-1828.5",="-2341.2",="-3093.5"
="ll",="533.4",="830.4",="751.8",="751.5",="938.9",="1195.3",="1571.4"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
