
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.000167",="0.000387",="-0.00182***",="0.000235",="0.000662***",="0.0000194",="-0.0000345***"
="",="(0.00175)",="(0.000512)",="(0.000656)",="(0.000728)",="(0.000205)",="(0.0000425)",="(0.0000125)"

="interaction3",="0.0000195",="-0.0000195",="0.0000717**",="0.00000457",="-0.0000244**",="-0.00000295",="0.00000124**"
="",="(0.0000792)",="(0.0000237)",="(0.0000300)",="(0.0000392)",="(0.0000110)",="(0.00000356)",="(0.000000603)"

="share_pop_2549",="-6.963***",="-3.144***",="-1.132",="0.714",="-1.671***",="-0.681***",="-0.0732***"
="",="(2.481)",="(0.739)",="(1.203)",="(1.012)",="(0.187)",="(0.110)",="(0.0217)"

="share_pop_50plus",="-3.474**",="-2.028***",="0.394",="1.180",="-1.660***",="-0.638***",="-0.0529***"
="",="(1.356)",="(0.573)",="(0.592)",="(0.796)",="(0.212)",="(0.112)",="(0.0184)"

="edu_total_isced58",="0.00275",="-0.00102",="0.000243",="0.00297***",="0.000712*",="-0.0000883",="0.0000181"
="",="(0.00277)",="(0.00105)",="(0.000887)",="(0.000829)",="(0.000422)",="(0.000131)",="(0.0000288)"

="ratio_edu",="0.187",="-0.00251",="-0.191***",="0.180",="0.150**",="0.0194",="0.00614**"
="",="(0.283)",="(0.0583)",="(0.0508)",="(0.131)",="(0.0721)",="(0.0151)",="(0.00269)"

="ratio_edu_sq",="-0.0583",="0.00130",="0.0771***",="-0.0634",="-0.0501*",="-0.00786",="-0.00226**"
="",="(0.103)",="(0.0209)",="(0.0214)",="(0.0486)",="(0.0263)",="(0.00547)",="(0.00103)"

="ec_active_female",="0.00687**",="0.00195*",="0.00481***",="0.000417",="-0.000420",="0.000108",="-0.0000289"
="",="(0.00325)",="(0.00115)",="(0.00131)",="(0.00130)",="(0.000405)",="(0.000137)",="(0.0000321)"

="N",="240",="240",="240",="240",="240",="240",="240"
="AIC",="-1037.2",="-1619.5",="-1494.0",="-1474.7",="-1844.1",="-2373.1",="-3129.6"
="BIC",="-1009.3",="-1591.6",="-1466.1",="-1446.9",="-1816.3",="-2345.3",="-3101.8"
="ll",="526.6",="817.7",="755.0",="745.4",="930.1",="1194.6",="1572.8"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
