
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.000152",="0.0000465",="0.0000223",="-0.0000218",="-0.000109***",="-0.0000476***",="-0.00000123"
="",="(0.000193)",="(0.0000601)",="(0.0000692)",="(0.0000509)",="(0.0000398)",="(0.0000176)",="(0.00000129)"

="share_pop_2549",="2.192*",="-0.0553",="-0.579",="1.537***",="0.979***",="0.0524",="-0.0156"
="",="(1.244)",="(0.358)",="(0.395)",="(0.357)",="(0.262)",="(0.0697)",="(0.0104)"

="share_pop_50plus",="0.528",="-0.255*",="-0.429**",="1.105***",="0.142",="-0.166***",="-0.0225***"
="",="(0.615)",="(0.148)",="(0.213)",="(0.169)",="(0.127)",="(0.0504)",="(0.00588)"

="edu_total_isced58",="-0.00174",="-0.00134**",="-0.00335***",="0.000464",="0.00182***",="0.000682***",="0.0000721***"
="",="(0.00148)",="(0.000606)",="(0.000792)",="(0.000630)",="(0.000403)",="(0.000132)",="(0.0000205)"

="ratio_edu",="-0.651***",="-0.0783**",="-0.140**",="-0.223***",="-0.127***",="-0.0209",="-0.00263*"
="",="(0.128)",="(0.0378)",="(0.0624)",="(0.0386)",="(0.0328)",="(0.0128)",="(0.00142)"

="ratio_edu_sq",="0.522***",="0.0712***",="0.124***",="0.161***",="0.0979***",="0.0182***",="0.00182**"
="",="(0.0782)",="(0.0261)",="(0.0393)",="(0.0222)",="(0.0160)",="(0.00699)",="(0.000796)"

="ec_active_female",="-0.000712",="-0.000142",="0.00125*",="-0.000427",="-0.000930*",="-0.000448**",="-0.0000538***"
="",="(0.00208)",="(0.000621)",="(0.000650)",="(0.000858)",="(0.000521)",="(0.000186)",="(0.0000195)"

="N",="680",="680",="680",="680",="680",="680",="680"
="AIC",="-3109.2",="-4635.8",="-4403.5",="-4303.1",="-4976.7",="-6353.8",="-8907.1"
="BIC",="-3077.5",="-4604.2",="-4371.8",="-4271.5",="-4945.0",="-6322.2",="-8875.5"
="ll",="1561.6",="2324.9",="2208.7",="2158.6",="2495.3",="3183.9",="4460.6"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
