
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.000715**",="0.000458***",="0.000521***",="-0.0000783",="-0.000115",="-0.0000460",="-0.000000388"
="",="(0.000305)",="(0.000103)",="(0.000105)",="(0.000106)",="(0.0000817)",="(0.0000290)",="(0.00000266)"

="interaction25",="-0.0000518***",="-0.0000248***",="-0.0000299***",="0.00000385",="0.000000480",="-6.09e-08",="-6.11e-08"
="",="(0.0000133)",="(0.00000487)",="(0.00000498)",="(0.00000438)",="(0.00000396)",="(0.00000121)",="(0.000000155)"

="share_pop_2549",="2.545**",="0.108",="-0.378",="1.520***",="0.979***",="0.0536",="-0.0154"
="",="(1.143)",="(0.276)",="(0.321)",="(0.379)",="(0.265)",="(0.0701)",="(0.0105)"

="share_pop_50plus",="0.969*",="-0.0471",="-0.176",="1.079***",="0.140",="-0.165***",="-0.0221***"
="",="(0.574)",="(0.115)",="(0.173)",="(0.196)",="(0.130)",="(0.0517)",="(0.00613)"

="edu_total_isced58",="-0.0000388",="-0.000514",="-0.00236***",="0.000322",="0.00180***",="0.000683***",="0.0000745***"
="",="(0.00154)",="(0.000652)",="(0.000768)",="(0.000616)",="(0.000371)",="(0.000139)",="(0.0000205)"

="ratio_edu",="-0.612***",="-0.0589*",="-0.117**",="-0.227***",="-0.128***",="-0.0209",="-0.00257*"
="",="(0.123)",="(0.0334)",="(0.0489)",="(0.0384)",="(0.0337)",="(0.0129)",="(0.00147)"

="ratio_edu_sq",="0.452***",="0.0379**",="0.0836***",="0.167***",="0.0986***",="0.0181**",="0.00174**"
="",="(0.0694)",="(0.0193)",="(0.0277)",="(0.0235)",="(0.0175)",="(0.00717)",="(0.000867)"

="ec_active_female",="-0.00198",="-0.000758",="0.000516",="-0.000322",="-0.000915*",="-0.000449**",="-0.0000555***"
="",="(0.00207)",="(0.000534)",="(0.000652)",="(0.000786)",="(0.000527)",="(0.000190)",="(0.0000191)"

="N",="680",="680",="680",="680",="680",="680",="680"
="AIC",="-3152.0",="-4745.4",="-4510.3",="-4304.9",="-4975.0",="-6352.2",="-8905.1"
="BIC",="-3115.9",="-4709.2",="-4474.1",="-4268.7",="-4938.8",="-6316.0",="-8868.9"
="ll",="1584.0",="2380.7",="2263.2",="2160.4",="2495.5",="3184.1",="4460.5"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
