
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.000448",="0.000508***",="0.000508***",="-0.000217",="-0.000225",="-0.0000581",="-0.00000239"
="",="(0.000484)",="(0.000151)",="(0.000154)",="(0.000172)",="(0.000147)",="(0.0000410)",="(0.00000460)"

="interaction26",="-0.0000157",="-0.0000123***",="-0.0000129***",="0.00000543",="0.00000316",="0.000000301",="2.91e-08"
="",="(0.0000117)",="(0.00000413)",="(0.00000413)",="(0.00000359)",="(0.00000337)",="(0.000000870)",="(0.000000121)"

="share_pop_2549",="2.152*",="-0.0962",="-0.622*",="1.565***",="0.993***",="0.0545",="-0.0155"
="",="(1.217)",="(0.335)",="(0.342)",="(0.351)",="(0.256)",="(0.0697)",="(0.0103)"

="share_pop_50plus",="0.623",="-0.186",="-0.357*",="1.081***",="0.126",="-0.167***",="-0.0227***"
="",="(0.617)",="(0.128)",="(0.200)",="(0.182)",="(0.131)",="(0.0515)",="(0.00599)"

="edu_total_isced58",="-0.00143",="-0.00108*",="-0.00307***",="0.000332",="0.00175***",="0.000674***",="0.0000716***"
="",="(0.00154)",="(0.000653)",="(0.000781)",="(0.000591)",="(0.000370)",="(0.000136)",="(0.0000206)"

="ratio_edu",="-0.655***",="-0.0808**",="-0.143**",="-0.223***",="-0.127***",="-0.0209",="-0.00261*"
="",="(0.128)",="(0.0365)",="(0.0584)",="(0.0368)",="(0.0318)",="(0.0128)",="(0.00141)"

="ratio_edu_sq",="0.506***",="0.0586***",="0.110***",="0.167***",="0.101***",="0.0185***",="0.00185**"
="",="(0.0730)",="(0.0207)",="(0.0360)",="(0.0225)",="(0.0172)",="(0.00717)",="(0.000841)"

="ec_active_female",="-0.000875",="-0.000281",="0.00111*",="-0.000354",="-0.000891*",="-0.000443**",="-0.0000535***"
="",="(0.00213)",="(0.000602)",="(0.000666)",="(0.000807)",="(0.000510)",="(0.000187)",="(0.0000192)"

="N",="680",="680",="680",="680",="680",="680",="680"
="AIC",="-3114.4",="-4683.0",="-4440.3",="-4310.6",="-4980.0",="-6352.0",="-8905.2"
="BIC",="-3078.2",="-4646.9",="-4404.1",="-4274.4",="-4943.8",="-6315.8",="-8869.0"
="ll",="1565.2",="2349.5",="2228.1",="2163.3",="2498.0",="3184.0",="4460.6"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
