
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00144***",="0.000591***",="0.000790***",="0.0000227",="0.0000316",="-0.0000405",="0.00000266"
="",="(0.000383)",="(0.000159)",="(0.000156)",="(0.000121)",="(0.0000922)",="(0.0000384)",="(0.00000410)"

="interaction22",="-0.00373***",="-0.00128***",="-0.00178***",="-0.000102",="-0.000331*",="-0.0000180",="-0.00000928"
="",="(0.000856)",="(0.000386)",="(0.000339)",="(0.000249)",="(0.000201)",="(0.0000771)",="(0.00000895)"

="share_pop_2549",="3.004***",="0.220",="-0.183",="1.560***",="1.050***",="0.0556",="-0.0136"
="",="(1.027)",="(0.276)",="(0.342)",="(0.367)",="(0.250)",="(0.0710)",="(0.0105)"

="share_pop_50plus",="1.096**",="-0.0621",="-0.153",="1.122***",="0.191",="-0.164***",="-0.0212***"
="",="(0.517)",="(0.128)",="(0.164)",="(0.181)",="(0.121)",="(0.0510)",="(0.00611)"

="edu_total_isced58",="0.000665",="-0.000511",="-0.00222***",="0.000528",="0.00203***",="0.000695***",="0.0000783***"
="",="(0.00146)",="(0.000617)",="(0.000801)",="(0.000677)",="(0.000394)",="(0.000137)",="(0.0000206)"

="ratio_edu",="-0.551***",="-0.0437",="-0.0927**",="-0.221***",="-0.118***",="-0.0204",="-0.00237"
="",="(0.115)",="(0.0350)",="(0.0415)",="(0.0393)",="(0.0316)",="(0.0127)",="(0.00145)"

="ratio_edu_sq",="0.428***",="0.0390*",="0.0791***",="0.159***",="0.0895***",="0.0177**",="0.00159*"
="",="(0.0670)",="(0.0220)",="(0.0229)",="(0.0231)",="(0.0155)",="(0.00702)",="(0.000842)"

="ec_active_female",="-0.00281",="-0.000864*",="0.000263",="-0.000483",="-0.00112**",="-0.000459**",="-0.0000591***"
="",="(0.00203)",="(0.000520)",="(0.000659)",="(0.000855)",="(0.000498)",="(0.000188)",="(0.0000199)"

="N",="680",="680",="680",="680",="680",="680",="680"
="AIC",="-3170.6",="-4713.6",="-4504.1",="-4301.0",="-4982.0",="-6352.0",="-8906.0"
="BIC",="-3134.5",="-4677.4",="-4467.9",="-4264.8",="-4945.8",="-6315.9",="-8869.8"
="ll",="1593.3",="2364.8",="2260.0",="2158.5",="2499.0",="3184.0",="4461.0"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
