
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.000760",="-0.000417",="-0.000173",="0.000639",="0.000516",="-0.00000454",="0.00000743"
="",="(0.00133)",="(0.000567)",="(0.000504)",="(0.000400)",="(0.000374)",="(0.000107)",="(0.0000169)"

="interaction11",="0.00000830",="0.0000120**",="0.0000113**",="-0.00000721",="-0.00000564",="-0.000000406",="-6.21e-08"
="",="(0.0000142)",="(0.00000576)",="(0.00000512)",="(0.00000475)",="(0.00000429)",="(0.00000120)",="(0.000000177)"

="interaction22",="-0.00348***",="-0.000920*",="-0.00141***",="-0.000312",="-0.000512**",="-0.0000326",="-0.00001000"
="",="(0.00109)",="(0.000475)",="(0.000406)",="(0.000305)",="(0.000258)",="(0.0000894)",="(0.0000120)"

="share_pop_2549",="2.976***",="0.150",="-0.252",="1.614***",="1.091***",="0.0595",="-0.0135"
="",="(1.007)",="(0.275)",="(0.298)",="(0.348)",="(0.235)",="(0.0707)",="(0.0105)"

="share_pop_50plus",="1.128**",="-0.0340",="-0.128",="1.112***",="0.183",="-0.164***",="-0.0215***"
="",="(0.521)",="(0.116)",="(0.156)",="(0.184)",="(0.119)",="(0.0510)",="(0.00611)"

="edu_total_isced58",="0.000684",="-0.000434",="-0.00217***",="0.000458",="0.00200***",="0.000692***",="0.0000771***"
="",="(0.00149)",="(0.000630)",="(0.000764)",="(0.000644)",="(0.000351)",="(0.000138)",="(0.0000203)"

="ratio_edu",="-0.557***",="-0.0505",="-0.0999**",="-0.217***",="-0.115***",="-0.0201",="-0.00237"
="",="(0.119)",="(0.0374)",="(0.0391)",="(0.0373)",="(0.0293)",="(0.0126)",="(0.00145)"

="ratio_edu_sq",="0.425***",="0.0338",="0.0749***",="0.162***",="0.0918***",="0.0179**",="0.00164*"
="",="(0.0659)",="(0.0211)",="(0.0224)",="(0.0227)",="(0.0157)",="(0.00707)",="(0.000866)"

="ec_active_female",="-0.00277",="-0.000849*",="0.000294",="-0.000475",="-0.00113**",="-0.000460**",="-0.0000585***"
="",="(0.00209)",="(0.000515)",="(0.000668)",="(0.000837)",="(0.000479)",="(0.000189)",="(0.0000201)"

="N",="680",="680",="680",="680",="680",="680",="680"
="AIC",="-3170.4",="-4741.4",="-4520.2",="-4308.5",="-4989.4",="-6350.3",="-8904.5"
="BIC",="-3129.7",="-4700.7",="-4479.5",="-4267.8",="-4948.7",="-6309.6",="-8863.8"
="ll",="1594.2",="2379.7",="2269.1",="2163.2",="2503.7",="3184.1",="4461.2"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
