
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.0000488",="0.0000977",="0.000154**",="-0.0000283",="-0.000147***",="-0.0000521***",="-0.00000338*"
="",="(0.000243)",="(0.0000631)",="(0.0000742)",="(0.0000745)",="(0.0000472)",="(0.0000180)",="(0.00000199)"

="interaction5",="-0.0000186",="-0.0000134",="-0.0000501***",="0.00000488",="0.0000224*",="0.00000419",="0.00000104**"
="",="(0.0000431)",="(0.0000140)",="(0.0000112)",="(0.0000169)",="(0.0000125)",="(0.00000464)",="(0.000000519)"

="share_pop_2549",="2.098*",="-0.139",="-0.784*",="1.582***",="1.057***",="0.0638",="-0.0117"
="",="(1.265)",="(0.379)",="(0.409)",="(0.337)",="(0.254)",="(0.0729)",="(0.00934)"

="share_pop_50plus",="0.489",="-0.299*",="-0.607***",="1.130***",="0.230*",="-0.148***",="-0.0186***"
="",="(0.635)",="(0.164)",="(0.228)",="(0.154)",="(0.129)",="(0.0569)",="(0.00582)"

="edu_total_isced58",="-0.00177",="-0.00130**",="-0.00282***",="0.000423",="0.00148***",="0.000606***",="0.0000584***"
="",="(0.00142)",="(0.000605)",="(0.000697)",="(0.000637)",="(0.000397)",="(0.000125)",="(0.0000192)"

="ratio_edu",="-0.661***",="-0.0834**",="-0.149**",="-0.222***",="-0.126***",="-0.0210",="-0.00251*"
="",="(0.124)",="(0.0358)",="(0.0605)",="(0.0394)",="(0.0312)",="(0.0129)",="(0.00137)"

="ratio_edu_sq",="0.523***",="0.0721***",="0.128***",="0.161***",="0.0957***",="0.0178**",="0.00172**"
="",="(0.0759)",="(0.0253)",="(0.0387)",="(0.0228)",="(0.0153)",="(0.00696)",="(0.000776)"

="ec_active_female",="-0.000664",="-0.000152",="0.000946",="-0.000405",="-0.000724",="-0.000399**",="-0.0000455**"
="",="(0.00206)",="(0.000626)",="(0.000649)",="(0.000815)",="(0.000509)",="(0.000186)",="(0.0000188)"

="empl_techn_tot",="0.00570",="0.00351",="0.00438**",="-0.00124",="-0.0000470",="0.000296",="-0.0000361"
="",="(0.00649)",="(0.00244)",="(0.00188)",="(0.00175)",="(0.00168)",="(0.000776)",="(0.0000612)"

="N",="680",="680",="680",="680",="680",="680",="680"
="AIC",="-3111.4",="-4645.3",="-4436.6",="-4301.2",="-5003.6",="-6366.5",="-8919.8"
="BIC",="-3070.7",="-4604.6",="-4395.9",="-4260.5",="-4962.9",="-6325.8",="-8879.2"
="ll",="1564.7",="2331.6",="2227.3",="2159.6",="2510.8",="3192.3",="4468.9"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
