
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00000119",="-0.000119",="0.0000805",="0.000119",="-0.00000463",="-0.0000323",="0.00000355"
="",="(0.000438)",="(0.000117)",="(0.000202)",="(0.000125)",="(0.0000744)",="(0.0000266)",="(0.00000407)"

="share_pop_2549",="-7.511***",="-3.958***",="-1.945**",="-0.304",="-0.211",="-0.189",="0.00233"
="",="(2.406)",="(0.422)",="(0.877)",="(0.866)",="(0.478)",="(0.151)",="(0.0184)"

="share_pop_50plus",="-6.263***",="-2.926***",="-1.064*",="-0.579",="-0.646***",="-0.337***",="-0.0457***"
="",="(1.411)",="(0.328)",="(0.596)",="(0.474)",="(0.247)",="(0.0904)",="(0.0140)"

="edu_total_isced58",="0.00188",="0.000270",="0.000357",="0.000390",="0.000693**",="0.000119",="0.0000129"
="",="(0.00146)",="(0.000469)",="(0.000608)",="(0.000446)",="(0.000352)",="(0.0000897)",="(0.0000185)"

="ratio_edu",="0.227",="-0.0302",="-0.103",="0.170",="0.146**",="0.0635**",="0.00711**"
="",="(0.275)",="(0.102)",="(0.112)",="(0.111)",="(0.0592)",="(0.0296)",="(0.00321)"

="ratio_edu_sq",="-0.111",="0.0106",="0.0398",="-0.0773*",="-0.0632***",="-0.0271**",="-0.00259**"
="",="(0.113)",="(0.0422)",="(0.0450)",="(0.0457)",="(0.0245)",="(0.0123)",="(0.00125)"

="ec_active_female",="-0.00115",="0.0000833",="0.000378",="-0.000874*",="-0.000787***",="-0.000353***",="-0.00000446"
="",="(0.00146)",="(0.000497)",="(0.000818)",="(0.000490)",="(0.000263)",="(0.000123)",="(0.0000267)"

="N",="440",="440",="440",="440",="440",="440",="440"
="AIC",="-1845.6",="-2903.8",="-2530.3",="-2673.7",="-3153.0",="-4079.1",="-5460.3"
="BIC",="-1816.9",="-2875.2",="-2501.7",="-2645.1",="-3124.3",="-4050.5",="-5431.7"
="ll",="929.8",="1458.9",="1272.2",="1343.9",="1583.5",="2046.5",="2737.1"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
