
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.000431",="0.0000488",="-0.000260",="0.000281",="0.000266",="0.0000955",="0.0000193"
="",="(0.00169)",="(0.000505)",="(0.000711)",="(0.000523)",="(0.000319)",="(0.0000940)",="(0.0000181)"

="interaction25",="-0.0000228",="-0.00000865",="0.0000181",="-0.00000881",="-0.0000144",="-0.00000681*",="-0.000000842"
="",="(0.0000834)",="(0.0000251)",="(0.0000350)",="(0.0000239)",="(0.0000139)",="(0.00000405)",="(0.000000805)"

="share_pop_2549",="-7.429***",="-3.926***",="-2.010**",="-0.273",="-0.160",="-0.165",="0.00533"
="",="(2.345)",="(0.458)",="(0.943)",="(0.827)",="(0.423)",="(0.128)",="(0.0206)"

="share_pop_50plus",="-6.180***",="-2.895***",="-1.131*",="-0.545",="-0.593***",="-0.312***",="-0.0426***"
="",="(1.415)",="(0.309)",="(0.621)",="(0.467)",="(0.218)",="(0.0779)",="(0.0135)"

="edu_total_isced58",="0.00186",="0.000263",="0.000366",="0.000387",="0.000686**",="0.000116",="0.0000125"
="",="(0.00142)",="(0.000460)",="(0.000613)",="(0.000440)",="(0.000344)",="(0.0000874)",="(0.0000189)"

="ratio_edu",="0.213",="-0.0365",="-0.0915",="0.165",="0.137**",="0.0592**",="0.00659**"
="",="(0.273)",="(0.106)",="(0.110)",="(0.116)",="(0.0651)",="(0.0288)",="(0.00323)"

="ratio_edu_sq",="-0.104",="0.0132",="0.0350",="-0.0752",="-0.0594**",="-0.0253**",="-0.00238*"
="",="(0.112)",="(0.0438)",="(0.0445)",="(0.0478)",="(0.0266)",="(0.0119)",="(0.00125)"

="ec_active_female",="-0.00111",="0.000104",="0.000345",="-0.000862*",="-0.000762***",="-0.000340***",="-0.00000302"
="",="(0.00141)",="(0.000487)",="(0.000809)",="(0.000485)",="(0.000241)",="(0.000116)",="(0.0000263)"

="N",="440",="440",="440",="440",="440",="440",="440"
="AIC",="-1845.2",="-2902.2",="-2527.8",="-2674.3",="-3155.6",="-4081.5",="-5455.6"
="BIC",="-1812.5",="-2869.5",="-2495.1",="-2641.6",="-3122.9",="-4048.8",="-5422.9"
="ll",="930.6",="1459.1",="1271.9",="1345.2",="1585.8",="2048.8",="2735.8"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
