
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.000930",="-0.000586",="-0.000865",="0.0000846",="0.000387",="0.000167",="0.0000417**"
="",="(0.00180)",="(0.000503)",="(0.000796)",="(0.000558)",="(0.000283)",="(0.000106)",="(0.0000205)"

="interaction26",="0.0000246",="0.0000124",="0.0000252",="0.000000786",="-0.0000105*",="-0.00000534**",="-0.00000102**"
="",="(0.0000432)",="(0.0000121)",="(0.0000191)",="(0.0000130)",="(0.00000621)",="(0.00000244)",="(0.000000487)"

="share_pop_2549",="-7.846***",="-4.127***",="-2.287**",="-0.316",="-0.0692",="-0.117",="0.0161"
="",="(2.550)",="(0.563)",="(1.001)",="(0.851)",="(0.407)",="(0.123)",="(0.0219)"

="share_pop_50plus",="-6.500***",="-3.047***",="-1.308**",="-0.585",="-0.544***",="-0.285***",="-0.0358***"
="",="(1.470)",="(0.339)",="(0.610)",="(0.468)",="(0.201)",="(0.0666)",="(0.0121)"

="edu_total_isced58",="0.00192",="0.000290",="0.000397",="0.000393",="0.000678**",="0.000111",="0.0000113"
="",="(0.00147)",="(0.000488)",="(0.000630)",="(0.000437)",="(0.000336)",="(0.0000860)",="(0.0000189)"

="ratio_edu",="0.257",="-0.0163",="-0.0747",="0.172",="0.134**",="0.0577**",="0.00597*"
="",="(0.260)",="(0.104)",="(0.101)",="(0.113)",="(0.0636)",="(0.0294)",="(0.00332)"

="ratio_edu_sq",="-0.123",="0.00463",="0.0278",="-0.0780*",="-0.0584**",="-0.0246**",="-0.00211"
="",="(0.107)",="(0.0434)",="(0.0407)",="(0.0466)",="(0.0260)",="(0.0121)",="(0.00129)"

="ec_active_female",="-0.00130",="0.0000155",="0.000241",="-0.000883*",="-0.000733***",="-0.000325***",="0.00000103"
="",="(0.00143)",="(0.000436)",="(0.000803)",="(0.000505)",="(0.000231)",="(0.000107)",="(0.0000246)"

="N",="440",="440",="440",="440",="440",="440",="440"
="AIC",="-1843.0",="-2906.2",="-2533.6",="-2671.4",="-3159.2",="-4088.4",="-5459.3"
="BIC",="-1810.3",="-2873.5",="-2500.9",="-2638.7",="-3126.5",="-4055.7",="-5426.6"
="ll",="929.5",="1461.1",="1274.8",="1343.7",="1587.6",="2052.2",="2737.6"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
