
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00362**",="0.00146***",="0.00167*",="0.000776",="-0.000249",="-0.000217",="-0.0000590**"
="",="(0.00168)",="(0.000494)",="(0.000862)",="(0.000545)",="(0.000369)",="(0.000136)",="(0.0000254)"

="interaction22",="-0.00717**",="-0.00310***",="-0.00314*",="-0.00132",="0.000467",="0.000357",="0.000122**"
="",="(0.00331)",="(0.000994)",="(0.00176)",="(0.00103)",="(0.000658)",="(0.000271)",="(0.0000535)"

="share_pop_2549",="-8.091***",="-4.204***",="-2.199***",="-0.414",="-0.175",="-0.161",="0.0120"
="",="(2.240)",="(0.404)",="(0.803)",="(0.832)",="(0.525)",="(0.175)",="(0.0182)"

="share_pop_50plus",="-6.472***",="-3.020***",="-1.156**",="-0.615",="-0.631**",="-0.326***",="-0.0420***"
="",="(1.347)",="(0.258)",="(0.555)",="(0.471)",="(0.251)",="(0.0901)",="(0.0125)"

="edu_total_isced58",="0.00189",="0.000267",="0.000361",="0.000397",="0.000696**",="0.000121",="0.0000131"
="",="(0.00145)",="(0.000374)",="(0.000630)",="(0.000470)",="(0.000347)",="(0.0000897)",="(0.0000168)"

="ratio_edu",="0.192",="-0.0487",="-0.119",="0.166",="0.150***",="0.0660**",="0.00785**"
="",="(0.258)",="(0.0937)",="(0.107)",="(0.110)",="(0.0559)",="(0.0289)",="(0.00346)"

="ratio_edu_sq",="-0.0960",="0.0182",="0.0463",="-0.0754*",="-0.0647***",="-0.0281**",="-0.00290**"
="",="(0.106)",="(0.0384)",="(0.0430)",="(0.0451)",="(0.0231)",="(0.0121)",="(0.00135)"

="ec_active_female",="-0.00132",="0.0000294",="0.000306",="-0.000916*",="-0.000784***",="-0.000349***",="-0.00000247"
="",="(0.00130)",="(0.000406)",="(0.000730)",="(0.000480)",="(0.000262)",="(0.000114)",="(0.0000218)"

="N",="440",="440",="440",="440",="440",="440",="440"
="AIC",="-1869.4",="-2931.3",="-2550.5",="-2682.3",="-3150.6",="-4081.4",="-5482.4"
="BIC",="-1836.7",="-2898.6",="-2517.8",="-2649.6",="-3117.9",="-4048.8",="-5449.7"
="ll",="942.7",="1473.7",="1283.2",="1349.2",="1583.3",="2048.7",="2749.2"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
