
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00493",="0.00190**",="0.00354**",="0.000823",="-0.00100**",="-0.000577**",="-0.000121**"
="",="(0.00319)",="(0.000945)",="(0.00159)",="(0.00102)",="(0.000505)",="(0.000252)",="(0.0000478)"

="interaction11",="-0.0000196",="-0.00000667",="-0.0000280",="-0.000000792",="0.0000114",="0.00000546*",="0.000000958*"
="",="(0.0000464)",="(0.0000125)",="(0.0000200)",="(0.0000147)",="(0.00000886)",="(0.00000292)",="(0.000000491)"

="interaction22",="-0.00703**",="-0.00303***",="-0.00294*",="-0.00131",="0.000361",="0.000305",="0.000112**"
="",="(0.00330)",="(0.000956)",="(0.00156)",="(0.00106)",="(0.000648)",="(0.000235)",="(0.0000459)"

="N",="440",="440",="440",="440",="440",="440",="440"
="AIC",="-1879.4",="-2945.3",="-2566.3",="-2692.0",="-3168.9",="-4103.8",="-5495.9"
="BIC",="-1867.1",="-2933.0",="-2554.0",="-2679.7",="-3156.6",="-4091.5",="-5483.6"
="ll",="942.7",="1475.6",="1286.2",="1349.0",="1587.4",="2054.9",="2750.9"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
