
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00109",="0.0000278",="-0.000423",="-0.000376*",="-0.000354**",="-0.000104***",="0.0000107"
="",="(0.000794)",="(0.000173)",="(0.000350)",="(0.000225)",="(0.000153)",="(0.0000392)",="(0.00000702)"

="interaction4",="0.0000576*",="-0.00000821",="0.0000264**",="0.0000261**",="0.0000191**",="0.00000377*",="-0.000000397"
="",="(0.0000329)",="(0.00000683)",="(0.0000121)",="(0.0000106)",="(0.00000837)",="(0.00000203)",="(0.000000339)"

="share_pop_2549",="-8.076***",="-3.905***",="-2.233***",="-0.557",="-0.341",="-0.221",="0.00548"
="",="(2.427)",="(0.441)",="(0.853)",="(0.827)",="(0.491)",="(0.151)",="(0.0173)"

="share_pop_50plus",="-6.869***",="-2.836***",="-1.339**",="-0.854*",="-0.854***",="-0.377***",="-0.0414***"
="",="(1.513)",="(0.354)",="(0.601)",="(0.461)",="(0.267)",="(0.0951)",="(0.0140)"

="edu_total_isced58",="0.00138",="0.000312",="0.0000967",="0.000169",="0.000593*",="0.0000934",="0.0000157"
="",="(0.00151)",="(0.000484)",="(0.000656)",="(0.000416)",="(0.000307)",="(0.0000825)",="(0.0000181)"

="ratio_edu",="0.323",="-0.0282",="-0.0436",="0.212**",="0.145**",="0.0668*",="0.00688**"
="",="(0.325)",="(0.102)",="(0.110)",="(0.106)",="(0.0631)",="(0.0355)",="(0.00325)"

="ratio_edu_sq",="-0.154",="0.00984",="0.0130",="-0.0962**",="-0.0633**",="-0.0286*",="-0.00249*"
="",="(0.138)",="(0.0427)",="(0.0440)",="(0.0452)",="(0.0276)",="(0.0150)",="(0.00128)"

="ec_active_female",="-0.00106",="0.0000256",="0.000384",="-0.000824*",="-0.000668***",="-0.000339***",="-0.00000642"
="",="(0.00136)",="(0.000503)",="(0.000766)",="(0.000464)",="(0.000242)",="(0.000119)",="(0.0000255)"

="youth_unempl_rate_tot",="-0.00236",="0.000171",="-0.00126**",="-0.00105***",="-0.000429",="-0.000121",="0.0000119"
="",="(0.00146)",="(0.000322)",="(0.000624)",="(0.000377)",="(0.000341)",="(0.0000825)",="(0.0000148)"

="N",="440",="440",="440",="440",="440",="440",="440"
="AIC",="-1855.6",="-2902.8",="-2541.1",="-2689.7",="-3181.5",="-4082.0",="-5459.8"
="BIC",="-1818.8",="-2866.0",="-2504.4",="-2652.9",="-3144.7",="-4045.2",="-5423.0"
="ll",="936.8",="1460.4",="1279.6",="1353.8",="1599.8",="2050.0",="2738.9"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
