
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00122*",="-0.000224",="-0.000890***",="-0.000112",="0.000125",="-0.0000542",="0.00000769"
="",="(0.000636)",="(0.000196)",="(0.000284)",="(0.000130)",="(0.0000965)",="(0.0000609)",="(0.00000676)"

="share_pop_2549",="-7.010***",="-1.825***",="-4.360***",="-0.810***",="0.140",="-0.167*",="-0.0200"
="",="(0.893)",="(0.276)",="(0.434)",="(0.277)",="(0.310)",="(0.0928)",="(0.0188)"

="share_pop_50plus",="-6.600***",="-2.389***",="-3.051***",="-0.320*",="-0.373**",="-0.262***",="-0.0109"
="",="(0.754)",="(0.232)",="(0.307)",="(0.190)",="(0.161)",="(0.0479)",="(0.00968)"

="edu_total_isced58",="-0.00176",="-0.0000620",="-0.00260**",="-0.00182*",="0.000285",="0.00119***",="0.000137*"
="",="(0.00339)",="(0.00126)",="(0.00121)",="(0.000979)",="(0.000984)",="(0.000431)",="(0.0000719)"

="ratio_edu",="-0.0495",="-0.110",="-0.0776",="0.105",="0.0450",="-0.0261",="-0.00210"
="",="(0.228)",="(0.0732)",="(0.111)",="(0.0696)",="(0.0714)",="(0.0211)",="(0.00344)"

="ratio_edu_sq",="0.0556",="0.0516*",="0.0319",="-0.0307",="-0.00367",="0.0114",="0.000545"
="",="(0.0907)",="(0.0295)",="(0.0451)",="(0.0276)",="(0.0269)",="(0.00846)",="(0.00144)"

="ec_active_female",="0.00291",="0.00195**",="0.000190",="-0.000200",="0.000822",="0.0000865",="0.0000637"
="",="(0.00261)",="(0.000769)",="(0.00101)",="(0.000957)",="(0.000527)",="(0.000216)",="(0.0000431)"

="N",="400",="400",="400",="400",="400",="400",="400"
="AIC",="-1562.1",="-2446.7",="-2273.6",="-2475.6",="-2615.7",="-3318.2",="-4704.9"
="BIC",="-1534.2",="-2418.8",="-2245.6",="-2447.6",="-2587.8",="-3290.3",="-4677.0"
="ll",="788.1",="1230.3",="1143.8",="1244.8",="1314.9",="1666.1",="2359.5"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
