
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.0000967",="0.0000755",="-0.000278",="0.000175",="-0.00000625",="-0.000135",="0.0000422***"
="",="(0.000914)",="(0.000369)",="(0.000429)",="(0.000251)",="(0.000217)",="(0.000101)",="(0.0000121)"

="interaction25",="-0.0000561",="-0.0000146",="-0.0000317",="-0.0000149",="0.00000804",="0.00000472",="-0.00000191***"
="",="(0.0000436)",="(0.0000168)",="(0.0000196)",="(0.0000125)",="(0.00000924)",="(0.00000291)",="(0.000000727)"

="share_pop_2549",="-7.417***",="-1.931***",="-4.591***",="-0.919***",="0.199",="-0.132",="-0.0340**"
="",="(0.853)",="(0.329)",="(0.465)",="(0.241)",="(0.351)",="(0.0909)",="(0.0143)"

="share_pop_50plus",="-7.245***",="-2.558***",="-3.412***",="-0.490**",="-0.285*",="-0.210***",="-0.0323***"
="",="(0.750)",="(0.262)",="(0.317)",="(0.228)",="(0.168)",="(0.0526)",="(0.0100)"

="edu_total_isced58",="-0.00344",="-0.000509",="-0.00351***",="-0.00225**",="0.000472",="0.00131***",="0.0000863"
="",="(0.00331)",="(0.00122)",="(0.00114)",="(0.000931)",="(0.000953)",="(0.000424)",="(0.0000611)"

="ratio_edu",="0.0315",="-0.0889",="-0.0322",="0.126*",="0.0339",="-0.0327",="0.000590"
="",="(0.242)",="(0.0793)",="(0.114)",="(0.0732)",="(0.0698)",="(0.0213)",="(0.00337)"

="ratio_edu_sq",="0.0278",="0.0443",="0.0165",="-0.0379",="0.0000431",="0.0136",="-0.000365"
="",="(0.0967)",="(0.0317)",="(0.0465)",="(0.0293)",="(0.0264)",="(0.00847)",="(0.00143)"

="ec_active_female",="0.00284",="0.00193***",="0.000134",="-0.000228",="0.000853",="0.000102",="0.0000587"
="",="(0.00262)",="(0.000746)",="(0.000997)",="(0.000967)",="(0.000526)",="(0.000215)",="(0.0000421)"

="N",="400",="400",="400",="400",="400",="400",="400"
="AIC",="-1567.1",="-2446.6",="-2283.4",="-2481.5",="-2615.2",="-3320.2",="-4716.3"
="BIC",="-1535.1",="-2414.7",="-2251.5",="-2449.6",="-2583.3",="-3288.2",="-4684.3"
="ll",="791.5",="1231.3",="1149.7",="1248.8",="1315.6",="1668.1",="2366.1"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
