
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00103",="-0.000249",="-0.000577",="0.000181",="-0.000141",="-0.000277**",="0.0000662***"
="",="(0.00127)",="(0.000514)",="(0.000586)",="(0.000359)",="(0.000346)",="(0.000134)",="(0.0000205)"

="interaction26",="-0.00000237",="0.00000173",="-0.00000837",="-0.00000818",="0.00000864",="0.00000675***",="-0.00000175***"
="",="(0.0000374)",="(0.0000136)",="(0.0000176)",="(0.0000109)",="(0.00000931)",="(0.00000247)",="(0.000000674)"

="share_pop_2549",="-7.023***",="-1.810***",="-4.424***",="-0.874***",="0.209",="-0.114",="-0.0338***"
="",="(0.854)",="(0.300)",="(0.461)",="(0.242)",="(0.359)",="(0.0919)",="(0.0129)"

="share_pop_50plus",="-6.647***",="-2.370***",="-3.166***",="-0.431*",="-0.262",="-0.173***",="-0.0340***"
="",="(0.815)",="(0.270)",="(0.350)",="(0.239)",="(0.191)",="(0.0553)",="(0.0112)"

="edu_total_isced58",="-0.00202",="-0.0000766",="-0.00287**",="-0.00206**",="0.000462",="0.00136***",="0.0000926"
="",="(0.00324)",="(0.00120)",="(0.00122)",="(0.000949)",="(0.000961)",="(0.000410)",="(0.0000597)"

="ratio_edu",="-0.0442",="-0.112",="-0.0647",="0.117",="0.0326",="-0.0360*",="0.000478"
="",="(0.235)",="(0.0746)",="(0.112)",="(0.0733)",="(0.0717)",="(0.0212)",="(0.00328)"

="ratio_edu_sq",="0.0534",="0.0522*",="0.0274",="-0.0350",="0.000503",="0.0148*",="-0.000340"
="",="(0.0932)",="(0.0302)",="(0.0453)",="(0.0291)",="(0.0271)",="(0.00844)",="(0.00139)"

="ec_active_female",="0.00299",="0.00197**",="0.000213",="-0.000186",="0.000836",="0.0000879",="0.0000638"
="",="(0.00263)",="(0.000766)",="(0.00102)",="(0.000964)",="(0.000522)",="(0.000214)",="(0.0000430)"

="N",="400",="400",="400",="400",="400",="400",="400"
="AIC",="-1560.7",="-2444.8",="-2273.2",="-2478.8",="-2614.7",="-3323.5",="-4717.2"
="BIC",="-1528.8",="-2412.9",="-2241.2",="-2446.9",="-2582.8",="-3291.5",="-4685.3"
="ll",="788.4",="1230.4",="1144.6",="1247.4",="1315.4",="1669.7",="2366.6"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
