
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00321***",="0.00119**",="0.00139***",="0.000366",="-0.000113",="-0.0000285",="0.0000478**"
="",="(0.00116)",="(0.000496)",="(0.000513)",="(0.000402)",="(0.000372)",="(0.000132)",="(0.0000201)"

="interaction22",="-0.00830***",="-0.00263***",="-0.00427***",="-0.000891",="0.000450",="-0.0000429",="-0.0000764*"
="",="(0.00207)",="(0.000880)",="(0.000768)",="(0.000714)",="(0.000620)",="(0.000200)",="(0.0000415)"

="share_pop_2549",="-7.635***",="-2.023***",="-4.681***",="-0.877***",="0.174",="-0.170*",="-0.0258"
="",="(0.877)",="(0.297)",="(0.323)",="(0.282)",="(0.325)",="(0.0946)",="(0.0171)"

="share_pop_50plus",="-7.662***",="-2.727***",="-3.597***",="-0.435**",="-0.316**",="-0.268***",="-0.0206**"
="",="(0.685)",="(0.241)",="(0.256)",="(0.199)",="(0.148)",="(0.0499)",="(0.00927)"

="edu_total_isced58",="-0.00511",="-0.00113",="-0.00432***",="-0.00218**",="0.000462",="0.00117***",="0.000107*"
="",="(0.00346)",="(0.00132)",="(0.000987)",="(0.000913)",="(0.000952)",="(0.000419)",="(0.0000642)"

="ratio_edu",="0.115",="-0.0577",="0.00709",="0.123*",="0.0361",="-0.0252",="-0.000598"
="",="(0.238)",="(0.0820)",="(0.0994)",="(0.0726)",="(0.0676)",="(0.0219)",="(0.00376)"

="ratio_edu_sq",="0.000790",="0.0342",="0.00375",="-0.0366",="-0.000715",="0.0111",="0.0000466"
="",="(0.0954)",="(0.0322)",="(0.0415)",="(0.0290)",="(0.0256)",="(0.00877)",="(0.00158)"

="ec_active_female",="0.00225",="0.00174**",="-0.000149",="-0.000269",="0.000859",="0.0000850",="0.0000571"
="",="(0.00260)",="(0.000756)",="(0.000939)",="(0.000968)",="(0.000525)",="(0.000223)",="(0.0000410)"

="N",="400",="400",="400",="400",="400",="400",="400"
="AIC",="-1589.2",="-2471.6",="-2323.5",="-2477.3",="-2616.1",="-3316.1",="-4708.3"
="BIC",="-1557.2",="-2439.7",="-2291.6",="-2445.4",="-2584.1",="-3284.2",="-4676.4"
="ll",="802.6",="1243.8",="1169.8",="1246.7",="1316.0",="1666.1",="2362.2"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
