
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.0140***",="0.00543***",="0.00639***",="-0.000723",="0.000330",="0.00119***",="-0.000150*"
="",="(0.00487)",="(0.00162)",="(0.000885)",="(0.00154)",="(0.00184)",="(0.000329)",="(0.0000878)"

="interaction11",="-0.000109**",="-0.0000435**",="-0.0000508***",="0.0000114",="-0.00000446",="-0.0000126***",="0.00000202**"
="",="(0.0000508)",="(0.0000173)",="(0.0000107)",="(0.0000157)",="(0.0000174)",="(0.00000304)",="(0.000000908)"

="interaction22",="-0.0134***",="-0.00466***",="-0.00675***",="-0.000290",="0.000290",="-0.000623***",="0.0000213"
="",="(0.00293)",="(0.00111)",="(0.000683)",="(0.000894)",="(0.00120)",="(0.000231)",="(0.0000508)"

="share_pop_2549",="",="-1.878***",="-4.521***",="-0.907***",="0.194",="-0.128",="-0.0322**"
="",="",="(0.296)",="(0.259)",="(0.238)",="(0.341)",="(0.109)",="(0.0127)"

="share_pop_50plus",="",="-2.464***",="-3.304***",="-0.503**",="-0.287",="-0.191***",="-0.0323***"
="",="",="(0.288)",="(0.252)",="(0.232)",="(0.179)",="(0.0560)",="(0.0103)"

="edu_total_isced58",="",="-0.000900",="-0.00407***",="-0.00232**",="0.000446",="0.00124***",="0.0000963"
="",="",="(0.00124)",="(0.000892)",="(0.000929)",="(0.000926)",="(0.000376)",="(0.0000635)"

="ratio_edu",="",="-0.0842",="-0.0216",="0.129*",="0.0330",="-0.0330",="0.000565"
="",="",="(0.0825)",="(0.0771)",="(0.0733)",="(0.0686)",="(0.0229)",="(0.00341)"

="ratio_edu_sq",="",="0.0436",="0.0141",="-0.0391",="0.000273",="0.0139",="-0.000374"
="",="",="(0.0322)",="(0.0325)",="(0.0294)",="(0.0260)",="(0.00912)",="(0.00142)"

="ec_active_female",="",="0.00164**",="-0.000293",="-0.000195",="0.000875*",="0.0000537",="0.0000629"
="",="",="(0.000770)",="(0.000883)",="(0.000973)",="(0.000522)",="(0.000214)",="(0.0000428)"

="N",="400",="400",="400",="400",="400",="400",="400"
="AIC",="-1608.6",="-2492.0",="-2336.1",="-2479.9",="-2614.2",="-3323.2",="-4716.2"
="BIC",="-1596.6",="-2456.1",="-2300.1",="-2444.0",="-2578.3",="-3287.2",="-4680.3"
="ll",="807.3",="1255.0",="1177.0",="1248.9",="1316.1",="1670.6",="2367.1"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
