
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.000905",="-0.000147",="-0.000887***",="-0.0000266",="0.000214**",="0.00000495",="0.00000181"
="",="(0.000663)",="(0.000216)",="(0.000314)",="(0.000132)",="(0.0000859)",="(0.0000319)",="(0.00000778)"

="interaction4",="-0.00000896",="-0.00000470*",="-0.00000201",="0.000000837",="-0.00000258",="-0.00000116*",="0.000000220"
="",="(0.0000118)",="(0.00000252)",="(0.00000364)",="(0.00000452)",="(0.00000343)",="(0.000000701)",="(0.000000178)"

="share_pop_2549",="-6.929***",="-1.796***",="-4.684***",="-0.649**",="0.365",="-0.126",="-0.00969"
="",="(1.152)",="(0.336)",="(0.530)",="(0.307)",="(0.313)",="(0.0983)",="(0.0127)"

="share_pop_50plus",="-6.143***",="-2.024***",="-3.012***",="-0.328",="-0.335*",="-0.197***",="-0.0283**"
="",="(0.870)",="(0.280)",="(0.379)",="(0.215)",="(0.189)",="(0.0427)",="(0.0113)"

="edu_total_isced58",="-0.000981",="0.000609",="-0.00245*",="-0.00159",="0.000396",="0.00100***",="0.000128*"
="",="(0.00354)",="(0.00119)",="(0.00131)",="(0.000976)",="(0.00105)",="(0.000348)",="(0.0000719)"

="ratio_edu",="-0.163",="-0.170**",="-0.158*",="0.110",="0.0683",="-0.0239",="0.00125"
="",="(0.224)",="(0.0688)",="(0.0959)",="(0.0709)",="(0.0727)",="(0.0207)",="(0.00305)"

="ratio_edu_sq",="0.109",="0.0759***",="0.0684*",="-0.0293",="-0.0131",="0.0105",="-0.000803"
="",="(0.0872)",="(0.0276)",="(0.0376)",="(0.0286)",="(0.0274)",="(0.00840)",="(0.00128)"

="ec_active_female",="0.00322",="0.00180**",="0.000243",="-0.0000614",="0.000851*",="0.000183",="0.0000728*"
="",="(0.00271)",="(0.000736)",="(0.00107)",="(0.00108)",="(0.000502)",="(0.000171)",="(0.0000434)"

="youth_unempl_rate_tot",="0.000610",="0.000622*",="-0.0000704",="-0.0000857",="0.000164",="0.000112",="-0.0000278"
="",="(0.000998)",="(0.000332)",="(0.000352)",="(0.000254)",="(0.000253)",="(0.0000919)",="(0.0000172)"

="N",="380",="380",="380",="380",="380",="380",="380"
="AIC",="-1524.9",="-2368.6",="-2264.9",="-2396.5",="-2543.0",="-3234.9",="-4513.8"
="BIC",="-1489.4",="-2333.1",="-2229.5",="-2361.0",="-2507.5",="-3199.4",="-4478.3"
="ll",="771.4",="1193.3",="1141.5",="1207.3",="1280.5",="1626.4",="2265.9"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
