
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00164",="-0.000738",="0.000744",="0.00121",="0.00101",="0.000382*",="-0.000000328"
="",="(0.00174)",="(0.000724)",="(0.000817)",="(0.00102)",="(0.000747)",="(0.000227)",="(0.0000210)"

="share_pop_2549",="-0.477",="-1.112*",="-0.426",="1.447",="0.822",="-0.00831",="-0.0518*"
="",="(1.973)",="(0.629)",="(0.688)",="(0.880)",="(0.949)",="(0.316)",="(0.0286)"

="share_pop_50plus",="2.050",="0.00992",="0.381",="1.483**",="0.933",="0.0333",="-0.0432*"
="",="(1.630)",="(0.488)",="(0.506)",="(0.675)",="(0.765)",="(0.252)",="(0.0248)"

="edu_total_isced58",="0.000186",="0.00101",="-0.000399",="-0.000596",="-0.000777**",="-0.000105",="0.0000305*"
="",="(0.00164)",="(0.000712)",="(0.000540)",="(0.000565)",="(0.000343)",="(0.000127)",="(0.0000178)"

="ratio_edu",="1.039***",="0.206",="0.246*",="0.375***",="0.230**",="0.0450",="-0.000336"
="",="(0.330)",="(0.127)",="(0.138)",="(0.111)",="(0.0933)",="(0.0323)",="(0.00442)"

="ratio_edu_sq",="-0.493***",="-0.104*",="-0.107",="-0.173***",="-0.112***",="-0.0228",="-0.0000378"
="",="(0.152)",="(0.0578)",="(0.0659)",="(0.0491)",="(0.0429)",="(0.0151)",="(0.00205)"

="ec_active_female",="-0.00260*",="-0.000113",="-0.000657",="-0.000633",="-0.000870**",="-0.000278**",="-0.0000202"
="",="(0.00156)",="(0.000696)",="(0.000661)",="(0.000522)",="(0.000400)",="(0.000137)",="(0.0000188)"

="N",="700",="700",="700",="700",="700",="700",="700"
="AIC",="-2746.2",="-4072.0",="-4026.8",="-3969.1",="-4303.3",="-5817.4",="-8058.9"
="BIC",="-2714.4",="-4040.1",="-3994.9",="-3937.2",="-4271.4",="-5785.5",="-8027.0"
="ll",="1380.1",="2043.0",="2020.4",="1991.6",="2158.6",="2915.7",="4036.5"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
