
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.00415",="0.0000785",="0.000480",="0.000907",="0.00166",="0.000686*",="-0.0000735"
="",="(0.00265)",="(0.00143)",="(0.00151)",="(0.00141)",="(0.00126)",="(0.000399)",="(0.0000461)"

="interaction25",="-0.000220",="-0.0000705",="0.0000122",="0.0000146",="-0.0000549",="-0.0000248",="0.00000502"
="",="(0.000148)",="(0.000108)",="(0.0000928)",="(0.0000836)",="(0.0000686)",="(0.0000229)",="(0.00000309)"

="share_pop_2549",="-0.519",="-1.128*",="-0.403",="1.473*",="0.808",="-0.0165",="-0.0483"
="",="(2.020)",="(0.632)",="(0.691)",="(0.888)",="(0.964)",="(0.321)",="(0.0293)"

="share_pop_50plus",="2.062",="0.0120",="0.400",="1.504**",="0.933",="0.0314",="-0.0410"
="",="(1.662)",="(0.480)",="(0.512)",="(0.677)",="(0.776)",="(0.256)",="(0.0252)"

="edu_total_isced58",="-0.0000491",="0.000938",="-0.000401",="-0.000597",="-0.000832**",="-0.000128",="0.0000340**"
="",="(0.00164)",="(0.000712)",="(0.000554)",="(0.000541)",="(0.000325)",="(0.000125)",="(0.0000171)"

="ratio_edu",="1.092***",="0.223*",="0.247*",="0.375***",="0.242***",="0.0502",="-0.00105"
="",="(0.334)",="(0.129)",="(0.139)",="(0.115)",="(0.0939)",="(0.0334)",="(0.00418)"

="ratio_edu_sq",="-0.517***",="-0.112*",="-0.107",="-0.173***",="-0.118***",="-0.0253",="0.000279"
="",="(0.154)",="(0.0586)",="(0.0665)",="(0.0509)",="(0.0433)",="(0.0155)",="(0.00196)"

="ec_active_female",="-0.00257",="-0.000102",="-0.000667",="-0.000644",="-0.000861**",="-0.000273**",="-0.0000220"
="",="(0.00158)",="(0.000700)",="(0.000653)",="(0.000524)",="(0.000398)",="(0.000137)",="(0.0000180)"

="N",="700",="700",="700",="700",="700",="700",="700"
="AIC",="-2748.2",="-4070.0",="-4025.9",="-3967.4",="-4304.1",="-5817.0",="-8061.3"
="BIC",="-2711.8",="-4033.6",="-3989.4",="-3931.0",="-4267.7",="-5780.6",="-8024.9"
="ll",="1382.1",="2043.0",="2020.9",="1991.7",="2160.1",="2916.5",="4038.6"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
