
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.0109***",="0.00141",="0.00147",="0.00203",="0.00263",="0.00109*",="-0.0000123"
="",="(0.00413)",="(0.00188)",="(0.00211)",="(0.00206)",="(0.00187)",="(0.000612)",="(0.0000583)"

="interaction26",="-0.000293***",="-0.0000658",="-0.0000219",="-0.0000285",="-0.0000534",="-0.0000230",="0.000000215"
="",="(0.000105)",="(0.0000605)",="(0.0000546)",="(0.0000569)",="(0.0000488)",="(0.0000168)",="(0.00000180)"

="share_pop_2549",="-0.306",="-1.084",="-0.418",="1.479*",="0.866",="0.00837",="-0.0511*"
="",="(1.998)",="(0.668)",="(0.690)",="(0.871)",="(0.935)",="(0.309)",="(0.0285)"

="share_pop_50plus",="2.231",="0.0413",="0.390",="1.514**",="0.978",="0.0506",="-0.0425*"
="",="(1.657)",="(0.503)",="(0.505)",="(0.683)",="(0.767)",="(0.251)",="(0.0247)"

="edu_total_isced58",="-0.000266",="0.000918",="-0.000429",="-0.000651",="-0.000869***",="-0.000142",="0.0000302*"
="",="(0.00158)",="(0.000702)",="(0.000552)",="(0.000535)",="(0.000323)",="(0.000129)",="(0.0000171)"

="ratio_edu",="1.113***",="0.221*",="0.250*",="0.385***",="0.246***",="0.0514",="-0.000230"
="",="(0.326)",="(0.125)",="(0.138)",="(0.114)",="(0.0949)",="(0.0341)",="(0.00445)"

="ratio_edu_sq",="-0.528***",="-0.111*",="-0.109*",="-0.178***",="-0.120***",="-0.0260",="-0.0000900"
="",="(0.150)",="(0.0569)",="(0.0659)",="(0.0508)",="(0.0438)",="(0.0159)",="(0.00207)"

="ec_active_female",="-0.00220",="-0.0000177",="-0.000625",="-0.000599",="-0.000801**",="-0.000247*",="-0.0000209"
="",="(0.00154)",="(0.000693)",="(0.000649)",="(0.000526)",="(0.000378)",="(0.000129)",="(0.0000190)"

="N",="700",="700",="700",="700",="700",="700",="700"
="AIC",="-2761.2",="-4072.3",="-4025.3",="-3968.9",="-4308.0",="-5822.4",="-8057.3"
="BIC",="-2724.7",="-4035.9",="-3988.9",="-3932.5",="-4271.5",="-5786.0",="-8020.9"
="ll",="1388.6",="2044.2",="2020.7",="1992.4",="2162.0",="2919.2",="4036.6"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
