
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.00242",="-0.00165",="0.000566",="-0.0000361",="0.000701",="0.000289",="-0.000160**"
="",="(0.00403)",="(0.00192)",="(0.00179)",="(0.00136)",="(0.00116)",="(0.000455)",="(0.0000695)"

="interaction22",="0.0105",="0.00216",="0.000489",="0.00316",="0.000956",="0.000265",="0.000416***"
="",="(0.0103)",="(0.00445)",="(0.00441)",="(0.00336)",="(0.00283)",="(0.00104)",="(0.000160)"

="share_pop_2549",="-0.173",="-1.038",="-0.414",="1.543*",="0.840",="-0.00227",="-0.0400"
="",="(2.000)",="(0.665)",="(0.691)",="(0.870)",="(0.932)",="(0.309)",="(0.0300)"

="share_pop_50plus",="2.278",="0.0683",="0.390",="1.555**",="0.945",="0.0375",="-0.0344"
="",="(1.659)",="(0.499)",="(0.510)",="(0.678)",="(0.762)",="(0.248)",="(0.0256)"

="edu_total_isced58",="0.000243",="0.00101",="-0.000395",="-0.000582",="-0.000764**",="-0.000102",="0.0000329**"
="",="(0.00163)",="(0.000712)",="(0.000541)",="(0.000562)",="(0.000343)",="(0.000128)",="(0.0000159)"

="ratio_edu",="1.004***",="0.201",="0.244*",="0.365***",="0.225**",="0.0438",="-0.00177"
="",="(0.312)",="(0.124)",="(0.136)",="(0.110)",="(0.0923)",="(0.0316)",="(0.00379)"

="ratio_edu_sq",="-0.477***",="-0.102*",="-0.106",="-0.168***",="-0.110***",="-0.0223",="0.000596"
="",="(0.145)",="(0.0566)",="(0.0653)",="(0.0483)",="(0.0423)",="(0.0148)",="(0.00178)"

="ec_active_female",="-0.00253",="-0.000103",="-0.000653",="-0.000614",="-0.000860**",="-0.000275**",="-0.0000175"
="",="(0.00154)",="(0.000692)",="(0.000665)",="(0.000511)",="(0.000394)",="(0.000136)",="(0.0000168)"

="N",="700",="700",="700",="700",="700",="700",="700"
="AIC",="-2745.7",="-4071.9",="-4024.5",="-3966.7",="-4299.9",="-5814.8",="-8068.9"
="BIC",="-2709.3",="-4035.5",="-3988.1",="-3930.3",="-4263.5",="-5778.4",="-8032.5"
="ll",="1380.8",="2043.9",="2020.3",="1991.3",="2157.9",="2915.4",="4042.4"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
