
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="-0.0366***",="-0.0103",="-0.00120",="-0.00295",="-0.00466",="-0.00206",="-0.000234"
="",="(0.0136)",="(0.00773)",="(0.00688)",="(0.00703)",="(0.00605)",="(0.00216)",="(0.000245)"

="interaction11",="0.000405***",="0.0000993",="0.0000212",="0.0000374",="0.0000654",="0.0000284",="0.000000884"
="",="(0.000149)",="(0.0000829)",="(0.0000770)",="(0.0000784)",="(0.0000679)",="(0.0000237)",="(0.00000270)"

="interaction22",="0.0182*",="0.00465",="0.000808",="0.00316",="0.00173",="0.000664",="0.000422**"
="",="(0.00984)",="(0.00511)",="(0.00495)",="(0.00373)",="(0.00355)",="(0.00122)",="(0.000169)"

="share_pop_2549",="0.113",="-0.953",="-0.400",="1.553*",="0.875",="0.0137",="-0.0391"
="",="(2.030)",="(0.726)",="(0.688)",="(0.861)",="(0.909)",="(0.298)",="(0.0301)"

="share_pop_50plus",="2.559",="0.148",="0.403",="1.570**",="0.983",="0.0542",="-0.0334"
="",="(1.698)",="(0.532)",="(0.503)",="(0.691)",="(0.759)",="(0.244)",="(0.0258)"

="edu_total_isced58",="-0.000256",="0.000898",="-0.000422",="-0.000635",="-0.000850***",="-0.000138",="0.0000313**"
="",="(0.00154)",="(0.000693)",="(0.000555)",="(0.000532)",="(0.000325)",="(0.000132)",="(0.0000150)"

="ratio_edu",="1.079***",="0.217*",="0.248*",="0.375***",="0.239**",="0.0496",="-0.00146"
="",="(0.309)",="(0.121)",="(0.137)",="(0.113)",="(0.0938)",="(0.0331)",="(0.00388)"

="ratio_edu_sq",="-0.513***",="-0.110**",="-0.108*",="-0.173***",="-0.117***",="-0.0251",="0.000445"
="",="(0.143)",="(0.0553)",="(0.0655)",="(0.0500)",="(0.0432)",="(0.0155)",="(0.00182)"

="ec_active_female",="-0.00213",="0.00000176",="-0.000633",="-0.000583",="-0.000799**",="-0.000248*",="-0.0000169"
="",="(0.00152)",="(0.000685)",="(0.000659)",="(0.000519)",="(0.000377)",="(0.000131)",="(0.0000171)"

="N",="700",="700",="700",="700",="700",="700",="700"
="AIC",="-2759.5",="-4073.0",="-4023.0",="-3966.4",="-4303.1",="-5818.0",="-8067.3"
="BIC",="-2718.5",="-4032.0",="-3982.0",="-3925.4",="-4262.1",="-5777.0",="-8026.3"
="ll",="1388.8",="2045.5",="2020.5",="1992.2",="2160.5",="2918.0",="4042.7"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
