
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="tfr",="fr_2024",="fr_2529",="fr_3034",="fr_3539",="fr_4044",="fr_45plus"

="exposure_to_robots",="0.000553",="-0.000327",="0.00178**",="0.000607",="-0.0000126",="-0.000158",="-0.0000888**"
="",="(0.00266)",="(0.000947)",="(0.000904)",="(0.00123)",="(0.00103)",="(0.000269)",="(0.0000427)"

="interaction3",="0.0000244",="-0.00000966",="-0.0000252",="0.0000125",="0.0000237",="0.0000122",="0.00000196**"
="",="(0.0000591)",="(0.0000276)",="(0.0000216)",="(0.0000299)",="(0.0000247)",="(0.00000801)",="(0.000000779)"

="share_pop_2549",="-0.365",="-1.153*",="-0.526",="1.512*",="0.925",="0.0468",="-0.0427"
="",="(1.959)",="(0.596)",="(0.700)",="(0.856)",="(0.916)",="(0.302)",="(0.0268)"

="share_pop_50plus",="2.109",="-0.0102",="0.335",="1.520**",="0.985",="0.0621",="-0.0383"
="",="(1.584)",="(0.458)",="(0.506)",="(0.647)",="(0.744)",="(0.245)",="(0.0238)"

="edu_total_isced58",="-0.000144",="0.00114",="-0.0000694",="-0.000770",="-0.00109***",="-0.000269**",="0.00000392"
="",="(0.00202)",="(0.000817)",="(0.000605)",="(0.000724)",="(0.000418)",="(0.000127)",="(0.0000272)"

="ratio_edu",="1.033***",="0.209",="0.255*",="0.373***",="0.223**",="0.0416",="-0.000821"
="",="(0.328)",="(0.128)",="(0.140)",="(0.111)",="(0.0934)",="(0.0332)",="(0.00453)"

="ratio_edu_sq",="-0.489***",="-0.106*",="-0.112*",="-0.172***",="-0.108**",="-0.0210",="0.000240"
="",="(0.151)",="(0.0583)",="(0.0673)",="(0.0493)",="(0.0429)",="(0.0155)",="(0.00210)"

="ec_active_female",="-0.00256*",="-0.000132",="-0.000711",="-0.000612",="-0.000823**",="-0.000254*",="-0.0000166"
="",="(0.00155)",="(0.000697)",="(0.000683)",="(0.000520)",="(0.000394)",="(0.000132)",="(0.0000183)"

="N",="700",="700",="700",="700",="700",="700",="700"
="AIC",="-2744.9",="-4072.0",="-4028.1",="-3969.0",="-4307.8",="-5831.0",="-8063.9"
="BIC",="-2708.5",="-4035.6",="-3991.7",="-3932.5",="-4271.4",="-5794.6",="-8027.4"
="ll",="1380.5",="2044.0",="2022.1",="1992.5",="2161.9",="2923.5",="4039.9"
="k",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
